subjCode	lang	seed	frame	ori	respMapping	room	date_time	expName	standardStim	textShown	frame	tilt	direction	orientation	adjustingStim	standardStimPos	adjustingStimPos
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_2_left	9L9L	basic	2	left	upright	gabor	(-4, 0)	(7, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_6_right	CLCL	basic	6	right	inverted	gabor	(3, 0)	(1, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_6_right	9L9L	basic	6	right	upright	gabor	(9, 0)	(-3, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_inverted_10_right	9L9L	basic	10	right	inverted	gabor	(-8, 0)	(7, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_2_right	CLCL	basic	2	right	inverted	gabor	(1, 0)	(7, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_12_left	CLCL	basic	12	left	upright	gabor	(-7, 0)	(6, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	9L9L_upright_4_left	9L9L	basic	4	left	upright	gabor	(5, 0)	(-2, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_8_right	CLCL	basic	8	right	upright	gabor	(14, 0)	(-13, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_inverted_12_left	CLCL	basic	12	left	inverted	gabor	(-10, 0)	(-9, -150)
stuff	e	10	basic	all	upLeft	KEVIN-HP-SPECTRE-X360-CONVERTIBLE	2017-08-17 22:30	tiltH_blocked	CLCL_upright_6_right	CLCL	basic	6	right	upright	gabor	(8, 0)	(-10, -150)
